id,phase,title,ledger_1_0_status,release_0_9_disposition,evidence_or_blocker
T112,Path group: Plant-authority foundation,Adversarially review numerical/security/concurrency/compatibility behavior of Plant-authority foundation,OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T113,Path group: Plant-authority foundation,"Build independent tests, oracles, fuzz corpus, and failure injection for Plant-authority foundation",OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T114,Path group: Plant-authority foundation,"Reconcile public docs, migrations, evidence, and downstream consumers for Plant-authority foundation",OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T115,Path group: Tauri capabilities and desktop security,Read and specify Tauri capabilities and desktop security,OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T116,Path group: Tauri capabilities and desktop security,"Prove input, state, error, time, identity, and resource invariants for Tauri capabilities and desktop security",OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T117,Path group: Tauri capabilities and desktop security,Adversarially review numerical/security/concurrency/compatibility behavior of Tauri capabilities and desktop security,OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T118,Path group: Tauri capabilities and desktop security,"Build independent tests, oracles, fuzz corpus, and failure injection for Tauri capabilities and desktop security",OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T119,Path group: Tauri capabilities and desktop security,"Reconcile public docs, migrations, evidence, and downstream consumers for Tauri capabilities and desktop security",OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T120,Path group: ROS/Gazebo package,Read and specify ROS/Gazebo package,OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T121,Path group: ROS/Gazebo package,"Prove input, state, error, time, identity, and resource invariants for ROS/Gazebo package",OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T122,Path group: ROS/Gazebo package,Adversarially review numerical/security/concurrency/compatibility behavior of ROS/Gazebo package,OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T123,Path group: ROS/Gazebo package,"Build independent tests, oracles, fuzz corpus, and failure injection for ROS/Gazebo package",OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T124,Path group: ROS/Gazebo package,"Reconcile public docs, migrations, evidence, and downstream consumers for ROS/Gazebo package",OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T125,Path group: Documentation and hazard/release evidence,Read and specify Documentation and hazard/release evidence,OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T126,Path group: Documentation and hazard/release evidence,"Prove input, state, error, time, identity, and resource invariants for Documentation and hazard/release evidence",OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T127,Path group: Documentation and hazard/release evidence,Adversarially review numerical/security/concurrency/compatibility behavior of Documentation and hazard/release evidence,OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T128,Path group: Documentation and hazard/release evidence,"Build independent tests, oracles, fuzz corpus, and failure injection for Documentation and hazard/release evidence",OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T129,Path group: Documentation and hazard/release evidence,"Reconcile public docs, migrations, evidence, and downstream consumers for Documentation and hazard/release evidence",OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T130,"Path group: Build, package, Nix, scripts, workflows","Read and specify Build, package, Nix, scripts, workflows",OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T131,"Path group: Build, package, Nix, scripts, workflows","Prove input, state, error, time, identity, and resource invariants for Build, package, Nix, scripts, workflows",OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T132,"Path group: Build, package, Nix, scripts, workflows","Adversarially review numerical/security/concurrency/compatibility behavior of Build, package, Nix, scripts, workflows",OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T133,"Path group: Build, package, Nix, scripts, workflows","Build independent tests, oracles, fuzz corpus, and failure injection for Build, package, Nix, scripts, workflows",OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T134,"Path group: Build, package, Nix, scripts, workflows","Reconcile public docs, migrations, evidence, and downstream consumers for Build, package, Nix, scripts, workflows",OPEN,REVIEWED_REPAIRED_OR_NOT_CLAIMED_0_9,audit/frozen/FILE_REVIEW_LEDGER.csv; REVIEW_REPORT F/S registers
T135,Repository-specific closure,"Define immutable product profiles: Analysis, SimulationNoAuthority, ReadOnlyTelemetry, Observed, EngramFederated, ExternalAuthority, HaldirGate, and Development.",OPEN,COMPLETED_0_9,product profiles; IPC registry; Phase-0 production graph evidence
T136,Repository-specific closure,Generate a frontend-to-Rust IPC contract registry and fail CI if an unregistered or undocumented command/event appears.,OPEN,COMPLETED_0_9,product profiles; IPC registry; Phase-0 production graph evidence
T137,Repository-specific closure,Prove development rosbridge and dormant NCP command surfaces are absent from stable packaged module graphs.,OPEN,COMPLETED_0_9,product profiles; IPC registry; Phase-0 production graph evidence
T138,Repository-specific closure,Select the normative fusion engine and produce a migration/removal plan for the other path.,OPEN,COMPLETED_0_9,docs/SENSOR_FUSION.md normative-engine and migration disposition
T139,Repository-specific closure,"Preregister fusion validation metrics: NEES/NIS, coverage, bias, RMSE, identity switches, fragmentation, latency, false tracks, missed tracks, and resource maxima.",OPEN,PREREGISTERED_NOT_RUN,docs/FUSION_VALIDATION_PROTOCOL.md
T140,Repository-specific closure,Create independent analytic and Monte Carlo truth fixtures for every supported filter and association regime.,OPEN,PARTIAL_NO_NUMERIC_CLAIM,component fixtures/corpora exist; independent truth campaign absent
T141,Repository-specific closure,"Bind detections and tracks to exact scene, sensor, camera, frame, model, preprocessing, timestamp, units, coordinate frame, and covariance identities.",OPEN,PARTIAL_NO_NUMERIC_CLAIM,component fixtures/corpora exist; independent truth campaign absent
T142,Repository-specific closure,"Create hostile asset/model/scene corpora for parsers, decompression, paths, dimensions, textures, splats, GLB accessors, image formats, and model metadata.",OPEN,PARTIAL_NO_NUMERIC_CLAIM,component fixtures/corpora exist; independent truth campaign absent
T143,Repository-specific closure,"Prove NoAuthority cannot construct or reach a plant-apply capability in Rust types, IPC schemas, Tauri capabilities, and packaged binaries.",OPEN,COMPLETED_0_9,"NoAuthority profiles, IPC registry, plant/production boundary gates"
T144,Repository-specific closure,Implement final HaldirGate receipt/command validation only in an isolated plant adapter; forbid UI or fusion code from minting authority.,OPEN,BLOCKED_EXTERNAL_NOT_IMPLEMENTED,final Haldir/NCP/Galadriel/Prisoma artifacts unavailable
T145,Repository-specific closure,Migrate external NCP/Engram adapter to exact final NCP 1.0 artifacts after publication and run canonical/mixed-version/security campaigns.,OPEN,BLOCKED_EXTERNAL_NOT_IMPLEMENTED,final Haldir/NCP/Galadriel/Prisoma artifacts unavailable
T146,Repository-specific closure,Migrate Galadriel producer to exact final contracts while preserving disabled/unavailable/failure behavior.,OPEN,BLOCKED_EXTERNAL_NOT_IMPLEMENTED,final Haldir/NCP/Galadriel/Prisoma artifacts unavailable
T147,Repository-specific closure,Produce Prisoma capture/replay exports with row-level lineage and split identities; do not require Galadriel or Haldir for scientific replay.,OPEN,BLOCKED_EXTERNAL_NOT_IMPLEMENTED,final Haldir/NCP/Galadriel/Prisoma artifacts unavailable
T148,Repository-specific closure,"Run macOS and Linux clean-room installation, GPU/device, long-duration rendering/camera/detection/fusion, and failure recovery campaigns.",OPEN,NOT_RUN,"target clean-room, GPU/device, and duration campaign unavailable"
T149,Repository-specific closure,"Rewrite public screenshots/status indicators so research, experimental, disabled, degraded, denied, and deployment-qualified cannot be confused.",OPEN,PARTIAL_CLAIMS_NARROWED,0.9 status/decision text; target screenshot review remains
T150,Final qualification,Run full feature/platform/profile matrix and prove unsupported combinations fail clearly,OPEN,PARTIAL_AUTOMATED_MATRIX,default/NCP/no-default/CUDA/TensorRT and hosted platform gates
T151,Final qualification,"Run long-duration resource, cancellation, restart, fault, and hostile-input campaigns",OPEN,PARTIAL_COMPONENT_ONLY,bounded lifecycle/fault tests; deployed long-duration run absent
T152,Final qualification,"Generate reproducible packages, SBOM, license report, vulnerability scan, provenance and checksums",OPEN,AUTOMATED_RELEASE_GATE_PENDING_TAG,"release workflow: packages, SBOM, scan, provenance, checksums"
T153,Final qualification,Commission independent clean-room build and critical evidence reproduction,OPEN,BLOCKED_INDEPENDENT_REVIEW,same-team agent lanes are explicitly non-independent
T154,Final qualification,"Reconcile every README, GitHub description, citation, package, tag, schema and support claim",OPEN,COMPLETED_LOCAL_0_9,0.9 metadata/authorship/docs; hosted state finalized at release
T155,Final qualification,"Run publication, rollback, revocation, withdrawal, and post-publication rehearsals without changing candidate",OPEN,PARTIAL,retired-v0.4 record and release workflow; publication rehearsal not independent
T156,Final qualification,Create local convergence manifest and hand off only explicit cross-repository requirements,OPEN,BLOCKED_CROSS_REPOSITORY,five final local manifests do not exist
T157,Final qualification,Perform final lead-only twenty-lens diff review against frozen audit cut,OPEN,COMPLETED_0_9_NOT_INDEPENDENT,audit/candidate/TWENTY_LENS_REVIEW.md
T158,Final qualification,"Issue signed GO, NARROWED_GO, or NO_GO decision with residual risks and removed claims",OPEN,NARROWED_GO_0_9_NO_GO_1_0,docs/NARROWED_GO_0.9.0.md
